50 0.395 0.246
51 0.383 0.235
52 0.378 0.240
53 0.391 0.245
54 0.388 0.224
55 0.387 0.239
56 0.383 0.237
57 0.380 0.234
58 0.373 0.242
59 0.394 0.245
60 0.394 0.233
61 0.371 0.227
62 0.385 0.240
63 0.383 0.234
64 0.391 0.232
65 0.376 0.194
66 0.386 0.222
67 0.383 0.204
68 0.394 0.234
69 0.392 0.261
70 0.387 0.254
71 0.375 0.235
72 0.382 0.259
73 0.402 0.260
74 0.379 0.255
75 0.378 0.227
76 0.388 0.252
77 0.386 0.250
78 0.384 0.267
79 0.374 0.235
80 0.385 0.244
81 0.387 0.251
82 0.391 0.255
83 0.381 0.246
84 0.394 0.239
85 0.373 0.255
86 0.410 0.239
87 0.376 0.251
88 0.387 0.225
89 0.392 0.226
90 0.385 0.219
91 0.390 0.226
92 0.375 0.233
93 0.382 0.219
94 0.372 0.222
95 0.389 0.242
96 0.384 0.243
97 0.375 0.232
98 0.381 0.223
99 0.387 0.262
100 0.383 0.245
101 0.375 0.237
102 0.382 0.253
103 0.381 0.243
104 0.383 0.228
105 0.393 0.274
106 0.397 0.259
107 0.388 0.237
108 0.388 0.242
109 0.374 0.235
110 0.385 0.222
111 0.381 0.236
112 0.388 0.232
113 0.376 0.218
114 0.394 0.234
115 0.398 0.236
116 0.390 0.250
117 0.384 0.249
118 0.391 0.278
119 0.379 0.247
120 0.394 0.225
121 0.375 0.225
122 0.395 0.248
123 0.392 0.252
124 0.396 0.251
125 0.380 0.221
126 0.400 0.251
127 0.385 0.226
128 0.384 0.225
129 0.381 0.253
130 0.396 0.249
131 0.370 0.242
132 0.393 0.225
133 0.384 0.251
134 0.378 0.250
135 0.393 0.244
136 0.385 0.244
137 0.379 0.226
138 0.377 0.255
139 0.375 0.208
140 0.386 0.221
141 0.379 0.227
142 0.394 0.223
143 0.389 0.229
144 0.372 0.207
145 0.378 0.228
146 0.402 0.237
147 0.380 0.226
148 0.377 0.222
149 0.376 0.222
150 0.388 0.246
151 0.389 0.222
152 0.398 0.242
153 0.395 0.271
154 0.378 0.254
155 0.391 0.242
156 0.394 0.242
157 0.380 0.193
158 0.388 0.227
159 0.387 0.230
160 0.395 0.224
161 0.384 0.253
162 0.386 0.232
163 0.385 0.245
164 0.406 0.248
165 0.385 0.231
166 0.382 0.252
167 0.395 0.218
168 0.390 0.232
169 0.394 0.250
170 0.384 0.249
171 0.377 0.243
172 0.389 0.240
173 0.389 0.237
174 0.381 0.254
175 0.388 0.235
176 0.372 0.232
177 0.382 0.243
178 0.384 0.225
179 0.365 0.247
180 0.387 0.255
181 0.400 0.231
182 0.389 0.240
183 0.383 0.230
184 0.390 0.234
185 0.391 0.233
186 0.383 0.205
187 0.393 0.255
188 0.388 0.233
189 0.368 0.256
190 0.380 0.240
191 0.410 0.270
192 0.375 0.230
193 0.394 0.238
194 0.392 0.239
195 0.394 0.257
196 0.384 0.273
197 0.384 0.259
198 0.390 0.237
199 0.379 0.240
200 0.385 0.224
201 0.386 0.229
202 0.408 0.237
203 0.397 0.239
204 0.386 0.261
205 0.388 0.254
206 0.393 0.241
207 0.399 0.242
208 0.391 0.247
209 0.400 0.240
210 0.390 0.247
211 0.380 0.222
212 0.390 0.235
213 0.396 0.241
214 0.389 0.247
215 0.401 0.233
216 0.387 0.213
217 0.378 0.224
218 0.385 0.235
219 0.384 0.211
220 0.388 0.210
221 0.389 0.258
222 0.388 0.236
223 0.387 0.248
224 0.387 0.243
225 0.376 0.211
226 0.388 0.213
227 0.383 0.228
228 0.385 0.256
229 0.395 0.230
230 0.386 0.242
231 0.374 0.234
232 0.400 0.220
233 0.372 0.261
234 0.380 0.221
235 0.383 0.256
236 0.394 0.227
237 0.390 0.222
238 0.397 0.239
239 0.371 0.206
240 0.391 0.270
241 0.365 0.240
242 0.379 0.228
243 0.389 0.229
244 0.389 0.256
245 0.385 0.227
246 0.391 0.250
247 0.369 0.237
248 0.383 0.235
249 0.394 0.254
250 0.381 0.230
251 0.389 0.248
252 0.376 0.236
253 0.377 0.244
254 0.386 0.242
255 0.371 0.247
256 0.390 0.237
257 0.401 0.218
258 0.387 0.262
259 0.376 0.293
260 0.382 0.269
261 0.386 0.300
262 0.366 0.297
263 0.370 0.312
264 0.381 0.295
265 0.386 0.243
266 0.402 0.244
267 0.385 0.234
268 0.390 0.270
269 0.389 0.237
270 0.384 0.263
271 0.383 0.249
272 0.379 0.247
273 0.393 0.238
274 0.388 0.247
275 0.383 0.185
276 0.388 0.209
277 0.396 0.257
278 0.377 0.241
279 0.391 0.231
280 0.381 0.238
281 0.378 0.252
282 0.384 0.247
283 0.401 0.262
284 0.383 0.237
285 0.387 0.253
286 0.380 0.252
287 0.381 0.242
288 0.383 0.243
289 0.375 0.232
290 0.379 0.240
291 0.401 0.234
292 0.389 0.225
293 0.383 0.234
294 0.381 0.240
295 0.400 0.255
296 0.389 0.228
297 0.391 0.227
298 0.386 0.237
299 0.380 0.227
