1.000 0.542 0.494 0.544 0.676 0.536 0.532 0.640 0.602 0.590 0.675 0.561 0.576 0.568 0.657 0.574 0.583 0.544 0.739 0.677
0.542 1.000 0.553 0.557 0.539 0.611 0.548 0.539 0.539 0.551 0.672 0.585 0.552 0.563 0.654 0.494 0.591 0.585 0.557 0.493
0.494 0.553 1.000 0.684 0.491 0.559 0.514 0.513 0.549 0.546 0.544 0.701 0.525 0.589 0.562 0.463 0.676 0.685 0.502 0.514
0.544 0.557 0.684 1.000 0.548 0.556 0.650 0.634 0.670 0.570 0.597 0.862 0.651 0.474 0.609 0.581 0.824 0.849 0.563 0.564
0.676 0.539 0.491 0.548 1.000 0.584 0.560 0.589 0.528 0.578 0.593 0.560 0.520 0.571 0.584 0.668 0.544 0.554 0.768 0.714
0.536 0.611 0.559 0.556 0.584 1.000 0.533 0.533 0.522 0.534 0.571 0.573 0.510 0.491 0.566 0.486 0.552 0.559 0.569 0.502
0.532 0.548 0.514 0.650 0.560 0.533 1.000 0.608 0.644 0.549 0.579 0.709 0.652 0.476 0.595 0.634 0.661 0.638 0.573 0.561
0.640 0.539 0.513 0.634 0.589 0.533 0.608 1.000 0.554 0.656 0.553 0.652 0.525 0.499 0.570 0.619 0.629 0.648 0.616 0.559
0.602 0.539 0.549 0.670 0.528 0.522 0.644 0.554 1.000 0.506 0.603 0.683 0.711 0.456 0.622 0.562 0.708 0.657 0.545 0.629
0.590 0.551 0.546 0.570 0.578 0.534 0.549 0.656 0.506 1.000 0.563 0.586 0.512 0.504 0.555 0.577 0.582 0.582 0.557 0.511
0.675 0.672 0.544 0.597 0.593 0.571 0.579 0.553 0.603 0.563 1.000 0.607 0.621 0.558 0.810 0.539 0.622 0.602 0.660 0.579
0.561 0.585 0.701 0.862 0.560 0.573 0.709 0.652 0.683 0.586 0.607 1.000 0.632 0.486 0.638 0.589 0.895 0.879 0.577 0.587
0.576 0.552 0.525 0.651 0.520 0.510 0.652 0.525 0.711 0.512 0.621 0.632 1.000 0.475 0.643 0.536 0.658 0.600 0.549 0.585
0.568 0.563 0.589 0.474 0.571 0.491 0.476 0.499 0.456 0.504 0.558 0.486 0.475 1.000 0.557 0.561 0.494 0.480 0.624 0.541
0.657 0.654 0.562 0.609 0.584 0.566 0.595 0.570 0.622 0.555 0.810 0.638 0.643 0.557 1.000 0.532 0.649 0.606 0.633 0.601
0.574 0.494 0.463 0.581 0.668 0.486 0.634 0.619 0.562 0.577 0.539 0.589 0.536 0.561 0.532 1.000 0.576 0.581 0.651 0.601
0.583 0.591 0.676 0.824 0.544 0.552 0.661 0.629 0.708 0.582 0.622 0.895 0.658 0.494 0.649 0.576 1.000 0.847 0.562 0.617
0.544 0.585 0.685 0.849 0.554 0.559 0.638 0.648 0.657 0.582 0.602 0.879 0.600 0.480 0.606 0.581 0.847 1.000 0.574 0.555
0.739 0.557 0.502 0.563 0.768 0.569 0.573 0.616 0.545 0.557 0.660 0.577 0.549 0.624 0.633 0.651 0.562 0.574 1.000 0.702
0.677 0.493 0.514 0.564 0.714 0.502 0.561 0.559 0.629 0.511 0.579 0.587 0.585 0.541 0.601 0.601 0.617 0.555 0.702 1.000
