Steps    Con      Chain    Chi      Excluded Rama     Contact  Fragment Beta     Pap      Helical  DH       Total   
0        1156.05  879.31   218.81   69.18    -2275.57 -1531.53 -5676.87 -394.01  -154.19  -121.06  -15.11   -7844.99
1        1135.47  894.76   223.70   70.76    -2288.48 -1520.49 -5666.85 -412.74  -150.97  -114.70  -14.59   -7844.14
2        1147.42  884.19   217.39   77.28    -2285.62 -1513.01 -5667.54 -398.54  -152.17  -115.05  -14.41   -7820.06
3        1205.07  872.24   205.75   77.34    -2252.66 -1516.16 -5674.70 -382.24  -151.91  -116.40  -15.29   -7748.97
4        1240.92  867.58   214.60   83.61    -2269.11 -1508.54 -5675.62 -408.48  -150.23  -117.23  -15.04   -7737.53
5        1213.45  866.02   212.59   82.64    -2247.16 -1509.21 -5670.68 -389.89  -150.33  -123.59  -14.32   -7730.47
6        1205.20  853.43   224.46   68.40    -2293.14 -1515.74 -5674.12 -383.55  -150.28  -117.61  -14.72   -7797.66
7        1199.75  869.93   221.17   91.26    -2264.46 -1532.58 -5654.45 -403.18  -156.81  -118.79  -14.43   -7762.60
8        1216.66  896.35   214.69   71.02    -2266.65 -1512.18 -5670.10 -360.35  -151.37  -116.38  -15.36   -7693.68
9        1222.36  876.05   221.90   66.52    -2306.58 -1514.86 -5671.18 -376.21  -152.41  -115.29  -15.51   -7765.21
10       1242.32  877.98   232.59   75.22    -2256.97 -1524.57 -5660.76 -418.93  -155.32  -121.42  -13.91   -7723.78
11       1210.74  878.01   221.55   74.56    -2251.54 -1509.70 -5668.89 -386.70  -151.73  -119.94  -15.99   -7719.64
12       1189.28  880.89   209.45   76.37    -2267.25 -1532.82 -5679.67 -411.15  -153.80  -119.80  -14.26   -7822.75
13       1209.34  888.69   240.50   86.35    -2256.87 -1517.02 -5671.20 -403.07  -153.42  -121.91  -15.34   -7713.93
14       1176.45  866.41   223.75   74.73    -2254.74 -1523.42 -5681.07 -432.90  -153.74  -117.48  -13.99   -7836.00
15       1199.95  907.93   221.17   64.16    -2268.00 -1523.56 -5670.06 -416.48  -153.05  -120.63  -14.43   -7773.01
16       1173.08  877.35   218.17   84.13    -2284.86 -1502.04 -5671.97 -405.71  -151.59  -118.57  -15.33   -7797.35
17       1193.49  882.51   224.48   71.01    -2281.24 -1518.40 -5667.60 -377.34  -149.67  -116.67  -15.03   -7754.45
18       1217.05  859.52   220.18   93.44    -2263.90 -1529.88 -5668.64 -413.19  -152.85  -124.46  -14.28   -7777.02
19       1190.42  892.96   205.18   68.91    -2286.30 -1513.10 -5668.66 -393.40  -150.75  -120.06  -14.30   -7789.07
