Steps    Con      Chain    Chi      Excluded Rama     Contact  Fragment Beta     Pap      Helical  DH       Total   
0        1153.53  879.34   218.68   68.94    -2277.10 -1490.78 -5680.35 -387.84  -154.03  -122.98  -16.25   -7808.84
1        1153.49  891.15   221.41   69.42    -2291.79 -1473.15 -5671.22 -384.29  -149.51  -118.69  -15.18   -7768.35
2        1158.26  882.15   216.81   79.91    -2276.67 -1488.76 -5651.12 -439.40  -161.70  -116.87  -15.04   -7812.43
3        1194.60  863.16   206.49   75.73    -2247.72 -1501.09 -5662.47 -424.68  -161.72  -116.87  -16.56   -7791.15
4        1241.27  863.92   217.14   81.36    -2267.62 -1479.31 -5673.20 -392.17  -150.23  -118.63  -15.50   -7692.99
5        1204.12  862.14   208.99   81.91    -2252.12 -1486.04 -5678.78 -379.11  -150.04  -128.56  -14.79   -7732.26
6        1207.45  856.47   229.83   65.67    -2284.36 -1478.38 -5667.13 -402.72  -155.92  -118.64  -15.83   -7763.56
7        1198.99  876.56   220.87   89.39    -2262.26 -1483.11 -5659.75 -398.20  -152.59  -121.15  -13.83   -7705.09
8        1210.92  890.83   214.07   72.81    -2253.72 -1509.20 -5660.93 -398.41  -161.35  -117.83  -15.62   -7728.43
9        1224.91  873.23   219.50   65.92    -2303.90 -1487.65 -5672.48 -373.22  -152.41  -117.84  -16.34   -7740.29
10       1241.87  872.58   229.26   74.63    -2263.74 -1500.05 -5666.34 -394.33  -150.17  -124.70  -17.39   -7698.39
11       1213.07  874.60   220.90   78.09    -2241.37 -1483.41 -5654.17 -419.31  -159.87  -121.64  -16.46   -7709.56
12       1192.84  871.18   209.06   73.31    -2269.77 -1509.40 -5664.33 -427.34  -165.26  -121.27  -16.19   -7827.16
13       1210.31  883.22   235.48   85.34    -2251.61 -1485.49 -5676.24 -383.82  -152.63  -125.28  -16.88   -7677.60
14       1178.58  866.11   219.03   71.17    -2268.74 -1488.73 -5670.93 -429.67  -157.55  -119.33  -15.85   -7815.91
15       1207.20  915.19   220.15   62.69    -2265.08 -1482.60 -5671.91 -406.77  -152.94  -125.98  -16.62   -7716.67
16       1171.08  876.56   216.63   85.31    -2276.57 -1475.62 -5666.30 -426.72  -160.00  -118.07  -14.91   -7788.61
17       1189.01  882.76   224.82   73.17    -2270.40 -1488.15 -5655.46 -410.16  -156.38  -117.38  -14.38   -7742.55
18       1213.12  848.53   216.40   92.42    -2259.64 -1491.30 -5672.86 -395.43  -152.15  -127.05  -15.65   -7743.61
19       1184.66  890.02   208.71   68.79    -2277.47 -1479.15 -5654.89 -418.30  -158.62  -122.09  -14.45   -7772.79
